snapshot_date,ticker,strategy,rank,action,upside_pct,allocation_usd,score,ret_3d,spy_3d,excess_3d,ret_5d,spy_5d,excess_5d,ret_10d,spy_10d,excess_10d
2026-04-21,VOO,DCA,1,STRONG BUY,10.0,1070.0,1070.0,0.014167605886683976,0.014004069299277333,0.000163536587406643,0.010830451549826092,0.010808409792706142,2.204175711995049e-05,,,
2026-04-21,QQQ,DCA,2,STRONG BUY,10.0,1070.0,1070.0,0.03034157539527249,0.014004069299277333,0.016337506095995158,0.020517390704275718,0.010808409792706142,0.009708980911569576,,,
2026-04-21,CSPX.L,DCA,3,STRONG BUY,10.0,1070.0,1070.0,0.0071519789929239685,0.014004069299277333,-0.0068520903063533645,0.0038974969515261915,0.010808409792706142,-0.00691091284117995,,,
2026-04-21,IWDA.AS,DCA,4,STRONG BUY,10.0,1070.0,1070.0,0.005426398717420566,0.014004069299277333,-0.008577670581856767,0.0014211965348485123,0.010808409792706142,-0.00938721325785763,,,
2026-04-21,AMZN,DCA,5,STRONG BUY,13.3,1070.0,1070.0,0.056340227945826715,0.014004069299277333,0.04233615864654938,0.03917413629491384,0.010808409792706142,0.0283657265022077,,,
2026-04-21,TSM,ActionCenter,1,STRONG BUY,25.0,1070.0,0.5575,0.0934036245843608,0.014004069299277333,0.07939955528508347,0.06590961380852467,0.010808409792706142,0.05510120401581853,,,
2026-04-21,AVGO,ActionCenter,2,STRONG BUY,19.0,1070.0,0.5425,0.0511972440769517,0.014004069299277333,0.037193174777674365,-0.005818501572318779,0.010808409792706142,-0.01662691136502492,,,
2026-04-21,AMZN,ActionCenter,3,STRONG BUY,13.3,1070.0,0.52825,0.056340227945826715,0.014004069299277333,0.04233615864654938,0.03917413629491384,0.010808409792706142,0.0283657265022077,,,
2026-04-21,VOO,ActionCenter,4,STRONG BUY,10.0,1070.0,0.52,0.014167605886683976,0.014004069299277333,0.000163536587406643,0.010830451549826092,0.010808409792706142,2.204175711995049e-05,,,
2026-04-21,QQQ,ActionCenter,5,STRONG BUY,10.0,1070.0,0.52,0.03034157539527249,0.014004069299277333,0.016337506095995158,0.020517390704275718,0.010808409792706142,0.009708980911569576,,,
2026-04-21,TSM,UpsideOnly,1,STRONG BUY,25.0,1070.0,25.0,0.0934036245843608,0.014004069299277333,0.07939955528508347,0.06590961380852467,0.010808409792706142,0.05510120401581853,,,
2026-04-21,AVGO,UpsideOnly,2,STRONG BUY,19.0,1070.0,19.0,0.0511972440769517,0.014004069299277333,0.037193174777674365,-0.005818501572318779,0.010808409792706142,-0.01662691136502492,,,
2026-04-21,AMZN,UpsideOnly,3,STRONG BUY,13.3,1070.0,13.3,0.056340227945826715,0.014004069299277333,0.04233615864654938,0.03917413629491384,0.010808409792706142,0.0283657265022077,,,
2026-04-21,VOO,UpsideOnly,4,STRONG BUY,10.0,1070.0,10.0,0.014167605886683976,0.014004069299277333,0.000163536587406643,0.010830451549826092,0.010808409792706142,2.204175711995049e-05,,,
2026-04-21,QQQ,UpsideOnly,5,STRONG BUY,10.0,1070.0,10.0,0.03034157539527249,0.014004069299277333,0.016337506095995158,0.020517390704275718,0.010808409792706142,0.009708980911569576,,,
2026-04-23,MSFT,DCA,1,BUY,39.4,1111.0,1111.0,0.03247143716175582,0.004573350523746189,0.027898086638009634,-0.019170177319791093,0.014411688561756009,-0.0335818658815471,,,
2026-04-23,META,DCA,2,BUY,29.7,1111.0,1111.0,0.01849351739346794,0.004573350523746189,0.01392016686972175,-0.07166813247336867,0.014411688561756009,-0.08607982103512468,,,
2026-04-23,AMZN,DCA,3,BUY,10.8,1111.0,1111.0,0.018112005421093258,0.004573350523746189,0.013538654897347069,0.039124963367959564,0.014411688561756009,0.024713274806203556,,,
2026-04-23,AVGO,DCA,4,BUY,13.2,1111.0,1111.0,-0.04788783100496974,0.004573350523746189,-0.05246118152871593,-0.0059770675597289324,0.014411688561756009,-0.02038875612148494,,,
2026-04-23,TSM,DCA,5,BUY,21.1,1111.0,1111.0,0.025296588572472523,0.004573350523746189,0.020723238048726333,0.03501801538766669,0.014411688561756009,0.02060632682591068,,,
2026-04-23,NVDA,ActionCenter,1,STRONG BUY,,0.0,0.495,0.06777198367392101,0.004573350523746189,0.06319863315017482,-0.0003505913927253079,0.014411688561756009,-0.014762279954481317,,,
2026-04-23,AAPL,ActionCenter,2,STRONG BUY,,0.0,0.495,-0.00994770615353946,0.004573350523746189,-0.014521056677285649,-0.007607016889079721,0.014411688561756009,-0.02201870545083573,,,
2026-04-23,ARM,ActionCenter,3,STRONG BUY,,0.0,0.495,-0.029128618816717133,0.004573350523746189,-0.03370196934046332,0.027906782155487253,0.014411688561756009,0.013495093593731244,,,
2026-04-23,IONQ,ActionCenter,4,BUY,48.0,1111.0,0.615,-0.012605987247212957,0.004573350523746189,-0.017179337770959147,0.03415076386185145,0.014411688561756009,0.019739075300095443,,,
2026-04-23,APP,ActionCenter,5,BUY,42.4,1111.0,0.601,-0.011317380048155412,0.004573350523746189,-0.0158907305719016,-0.017218237869116915,0.014411688561756009,-0.03162992643087292,,,
2026-04-23,IONQ,UpsideOnly,1,BUY,48.0,1111.0,48.0,-0.012605987247212957,0.004573350523746189,-0.017179337770959147,0.03415076386185145,0.014411688561756009,0.019739075300095443,,,
2026-04-23,APP,UpsideOnly,2,BUY,42.4,1111.0,42.4,-0.011317380048155412,0.004573350523746189,-0.0158907305719016,-0.017218237869116915,0.014411688561756009,-0.03162992643087292,,,
2026-04-23,MSFT,UpsideOnly,3,BUY,39.4,1111.0,39.4,0.03247143716175582,0.004573350523746189,0.027898086638009634,-0.019170177319791093,0.014411688561756009,-0.0335818658815471,,,
2026-04-23,META,UpsideOnly,4,BUY,29.7,1111.0,29.7,0.01849351739346794,0.004573350523746189,0.01392016686972175,-0.07166813247336867,0.014411688561756009,-0.08607982103512468,,,
2026-04-23,TSM,UpsideOnly,5,BUY,21.1,1111.0,21.1,0.025296588572472523,0.004573350523746189,0.020723238048726333,0.03501801538766669,0.014411688561756009,0.02060632682591068,,,
2026-04-24,MSFT,DCA,1,BUY,36.1,1111.0,1111.0,-0.00037681612724149716,-0.003305579381309709,0.002928763254068212,-0.023974360116912896,0.009398579642141414,-0.03337293975905431,,,
2026-04-24,META,DCA,2,BUY,26.7,1111.0,1111.0,-0.008755216691387013,-0.003305579381309709,-0.005449637310077304,-0.09818826781071299,0.009398579642141414,-0.1075868474528544,,,
2026-04-24,AVGO,DCA,3,BUY,12.5,1111.0,1111.0,-0.04094521042373489,-0.003305579381309709,-0.03763963104242518,-0.0035008301450949464,0.009398579642141414,-0.01289940978723636,,,
2026-04-24,TSM,DCA,4,BUY,15.2,1111.0,1111.0,-0.02144313737027892,-0.003305579381309709,-0.01813755798896921,-0.011901749562796993,0.009398579642141414,-0.021300329204938406,,,
2026-04-24,APP,DCA,5,BUY,42.6,1111.0,1111.0,-0.010841231739506019,-0.003305579381309709,-0.00753565235819631,0.026121464301840813,0.009398579642141414,0.0167228846596994,,,
2026-04-24,CLSK,ActionCenter,1,STRONG BUY,51.9,0.0,0.63975,-0.10893419423116735,-0.003305579381309709,-0.10562861484985764,-0.046238255643008874,0.009398579642141414,-0.05563683528515029,,,
2026-04-24,BAC,ActionCenter,2,STRONG BUY,20.5,0.0,0.57625,0.015946240984067384,-0.003305579381309709,0.019251820365377093,0.022862679324670232,0.009398579642141414,0.013464099682528818,,,
2026-04-24,MATX,ActionCenter,3,STRONG BUY,24.8,0.0,0.5720000000000001,0.0059772442868977205,-0.003305579381309709,0.00928282366820743,0.007137857911210688,0.009398579642141414,-0.002260721730930726,,,
2026-04-24,SBLK,ActionCenter,4,STRONG BUY,23.7,0.0,0.56925,0.026826233215449857,-0.003305579381309709,0.030131812596759566,0.0433347570881657,0.009398579642141414,0.033936177446024285,,,
2026-04-24,NVDA,ActionCenter,5,STRONG BUY,29.0,0.0,0.5675,0.004705409840281227,-0.003305579381309709,0.008010989221590936,-0.04715036790114102,0.009398579642141414,-0.056548947543282435,,,
2026-04-24,CLSK,UpsideOnly,1,STRONG BUY,51.9,0.0,51.9,-0.10893419423116735,-0.003305579381309709,-0.10562861484985764,-0.046238255643008874,0.009398579642141414,-0.05563683528515029,,,
2026-04-24,IONQ,UpsideOnly,2,BUY,51.2,1111.0,51.2,-0.01358627395210421,-0.003305579381309709,-0.010280694570794502,0.0822207132617343,0.009398579642141414,0.07282213361959289,,,
2026-04-24,APP,UpsideOnly,3,BUY,42.6,1111.0,42.6,-0.010841231739506019,-0.003305579381309709,-0.00753565235819631,0.026121464301840813,0.009398579642141414,0.0167228846596994,,,
2026-04-24,MSFT,UpsideOnly,4,BUY,36.1,1111.0,36.1,-0.00037681612724149716,-0.003305579381309709,0.002928763254068212,-0.023974360116912896,0.009398579642141414,-0.03337293975905431,,,
2026-04-24,NVDA,UpsideOnly,5,STRONG BUY,29.0,0.0,29.0,0.004705409840281227,-0.003305579381309709,0.008010989221590936,-0.04715036790114102,0.009398579642141414,-0.056548947543282435,,,
2026-04-24,MATX,HighConviction,1,STRONG BUY,24.8,0.0,24.8,0.0059772442868977205,-0.003305579381309709,0.00928282366820743,0.007137857911210688,0.009398579642141414,-0.002260721730930726,,,
2026-04-24,SBLK,HighConviction,2,STRONG BUY,23.7,0.0,23.7,0.026826233215449857,-0.003305579381309709,0.030131812596759566,0.0433347570881657,0.009398579642141414,0.033936177446024285,,,
2026-04-24,BAC,HighConviction,3,STRONG BUY,20.5,0.0,20.5,0.015946240984067384,-0.003305579381309709,0.019251820365377093,0.022862679324670232,0.009398579642141414,0.013464099682528818,,,
2026-04-25,MSFT,DCA,1,BUY,36.1,1111.0,1111.0,-0.0401111253028088,0.004879945072881364,-0.04499107037569017,-0.026364135431322766,0.003971121444320325,-0.03033525687564309,,,
2026-04-25,META,DCA,2,BUY,26.7,1111.0,1111.0,-0.09830247038497064,0.004879945072881364,-0.103182415457852,-0.10051283850084225,0.003971121444320325,-0.10448395994516257,,,
2026-04-25,AVGO,DCA,3,BUY,12.5,1111.0,1111.0,-0.0018412709439826758,0.004879945072881364,-0.00672121601686404,-0.004065069721207126,0.003971121444320325,-0.008036191165527451,,,
2026-04-25,TSM,DCA,4,BUY,15.2,1111.0,1111.0,-0.02202581160983652,0.004879945072881364,-0.026905756682717885,-0.008321461660682816,0.003971121444320325,-0.012292583105003141,,,
2026-04-25,APP,DCA,5,BUY,42.6,1111.0,1111.0,-0.030285259689806554,0.004879945072881364,-0.03516520476268792,0.03195809420582396,0.003971121444320325,0.027986972761503637,,,
2026-04-25,CLSK,ActionCenter,1,STRONG BUY,51.9,0.0,0.63975,0.02285712105887283,0.004879945072881364,0.017977175985991467,0.04653058733258919,0.003971121444320325,0.042559465888268866,,,
2026-04-25,BAC,ActionCenter,2,STRONG BUY,20.5,0.0,0.57625,0.015770435103795943,0.004879945072881364,0.010890490030914579,-0.00836029702596408,0.003971121444320325,-0.012331418470284405,,,
2026-04-25,MATX,ActionCenter,3,STRONG BUY,24.8,0.0,0.5720000000000001,-0.013014220038253588,0.004879945072881364,-0.017894165111134952,-0.03338422474462266,0.003971121444320325,-0.037355346188942984,,,
2026-04-25,SBLK,ActionCenter,4,STRONG BUY,23.7,0.0,0.56925,0.022375884408775137,0.004879945072881364,0.017495939335893773,0.029292079560183204,0.003971121444320325,0.02532095811586288,,,
2026-04-25,NVDA,ActionCenter,5,STRONG BUY,29.0,0.0,0.5675,-0.07866669700437867,0.004879945072881364,-0.08354664207726004,-0.08369883584195925,0.003971121444320325,-0.08766995728627958,,,
2026-04-25,CLSK,UpsideOnly,1,STRONG BUY,51.9,0.0,51.9,0.02285712105887283,0.004879945072881364,0.017977175985991467,0.04653058733258919,0.003971121444320325,0.042559465888268866,,,
2026-04-25,IONQ,UpsideOnly,2,BUY,51.2,1111.0,51.2,0.029197052345843133,0.004879945072881364,0.02431710727296177,0.043567514615972414,0.003971121444320325,0.03959639317165209,,,
2026-04-25,APP,UpsideOnly,3,BUY,42.6,1111.0,42.6,-0.030285259689806554,0.004879945072881364,-0.03516520476268792,0.03195809420582396,0.003971121444320325,0.027986972761503637,,,
2026-04-25,MSFT,UpsideOnly,4,BUY,36.1,1111.0,36.1,-0.0401111253028088,0.004879945072881364,-0.04499107037569017,-0.026364135431322766,0.003971121444320325,-0.03033525687564309,,,
2026-04-25,NVDA,UpsideOnly,5,STRONG BUY,29.0,0.0,29.0,-0.07866669700437867,0.004879945072881364,-0.08354664207726004,-0.08369883584195925,0.003971121444320325,-0.08766995728627958,,,
2026-04-25,MATX,HighConviction,1,STRONG BUY,24.8,0.0,24.8,-0.013014220038253588,0.004879945072881364,-0.017894165111134952,-0.03338422474462266,0.003971121444320325,-0.037355346188942984,,,
2026-04-25,SBLK,HighConviction,2,STRONG BUY,23.7,0.0,23.7,0.022375884408775137,0.004879945072881364,0.017495939335893773,0.029292079560183204,0.003971121444320325,0.02532095811586288,,,
2026-04-25,BAC,HighConviction,3,STRONG BUY,20.5,0.0,20.5,0.015770435103795943,0.004879945072881364,0.010890490030914579,-0.00836029702596408,0.003971121444320325,-0.012331418470284405,,,
2026-04-26,MSFT,DCA,1,BUY,35.7,1111.0,1111.0,-0.0401111253028088,0.004879945072881364,-0.04499107037569017,-0.026364135431322766,0.003971121444320325,-0.03033525687564309,,,
2026-04-26,META,DCA,2,BUY,26.7,1111.0,1111.0,-0.09830247038497064,0.004879945072881364,-0.103182415457852,-0.10051283850084225,0.003971121444320325,-0.10448395994516257,,,
2026-04-26,AVGO,DCA,3,BUY,12.5,1111.0,1111.0,-0.0018412709439826758,0.004879945072881364,-0.00672121601686404,-0.004065069721207126,0.003971121444320325,-0.008036191165527451,,,
2026-04-26,TSM,DCA,4,BUY,15.2,1111.0,1111.0,-0.02202581160983652,0.004879945072881364,-0.026905756682717885,-0.008321461660682816,0.003971121444320325,-0.012292583105003141,,,
2026-04-26,APP,DCA,5,BUY,42.6,1111.0,1111.0,-0.030285259689806554,0.004879945072881364,-0.03516520476268792,0.03195809420582396,0.003971121444320325,0.027986972761503637,,,
2026-04-26,CLSK,ActionCenter,1,STRONG BUY,51.9,0.0,0.63975,0.02285712105887283,0.004879945072881364,0.017977175985991467,0.04653058733258919,0.003971121444320325,0.042559465888268866,,,
2026-04-26,BAC,ActionCenter,2,STRONG BUY,20.7,0.0,0.57675,0.015770435103795943,0.004879945072881364,0.010890490030914579,-0.00836029702596408,0.003971121444320325,-0.012331418470284405,,,
2026-04-26,NVDA,ActionCenter,3,STRONG BUY,29.0,0.0,0.5675,-0.07866669700437867,0.004879945072881364,-0.08354664207726004,-0.08369883584195925,0.003971121444320325,-0.08766995728627958,,,
2026-04-26,ASML,ActionCenter,4,STRONG BUY,14.0,0.0,0.56,0.004572651626632673,0.004879945072881364,-0.0003072934462486909,-0.03227359076804659,0.003971121444320325,-0.036244712212366914,,,
2026-04-26,C,ActionCenter,5,STRONG BUY,11.3,0.0,0.55325,-0.008982468934468857,0.004879945072881364,-0.013862414007350221,-0.027179821533372395,0.003971121444320325,-0.03115094297769272,,,
2026-04-26,CLSK,UpsideOnly,1,STRONG BUY,51.9,0.0,51.9,0.02285712105887283,0.004879945072881364,0.017977175985991467,0.04653058733258919,0.003971121444320325,0.042559465888268866,,,
2026-04-26,IONQ,UpsideOnly,2,BUY,51.2,1111.0,51.2,0.029197052345843133,0.004879945072881364,0.02431710727296177,0.043567514615972414,0.003971121444320325,0.03959639317165209,,,
2026-04-26,APP,UpsideOnly,3,BUY,42.6,1111.0,42.6,-0.030285259689806554,0.004879945072881364,-0.03516520476268792,0.03195809420582396,0.003971121444320325,0.027986972761503637,,,
2026-04-26,MSFT,UpsideOnly,4,BUY,35.7,1111.0,35.7,-0.0401111253028088,0.004879945072881364,-0.04499107037569017,-0.026364135431322766,0.003971121444320325,-0.03033525687564309,,,
2026-04-26,NVDA,UpsideOnly,5,STRONG BUY,29.0,0.0,29.0,-0.07866669700437867,0.004879945072881364,-0.08354664207726004,-0.08369883584195925,0.003971121444320325,-0.08766995728627958,,,
2026-04-26,BAC,HighConviction,1,STRONG BUY,20.7,0.0,20.7,0.015770435103795943,0.004879945072881364,0.010890490030914579,-0.00836029702596408,0.003971121444320325,-0.012331418470284405,,,
2026-04-26,ASML,HighConviction,2,STRONG BUY,14.0,0.0,14.0,0.004572651626632673,0.004879945072881364,-0.0003072934462486909,-0.03227359076804659,0.003971121444320325,-0.036244712212366914,,,
2026-04-26,C,HighConviction,3,STRONG BUY,11.3,0.0,11.3,-0.008982468934468857,0.004879945072881364,-0.013862414007350221,-0.027179821533372395,0.003971121444320325,-0.03115094297769272,,,
2026-04-27,CLSK,ActionCenter,1,STRONG BUY,58.2,0.0,0.6405000000000001,0.02285712105887283,0.004879945072881364,0.017977175985991467,0.04653058733258919,0.003971121444320325,0.042559465888268866,,,
2026-04-27,ASML,ActionCenter,2,STRONG BUY,15.9,0.0,0.56475,0.004572651626632673,0.004879945072881364,-0.0003072934462486909,-0.03227359076804659,0.003971121444320325,-0.036244712212366914,,,
2026-04-27,KDP,ActionCenter,3,STRONG BUY,18.1,0.0,0.55525,0.044404973958762195,0.004879945072881364,0.03952502888588083,0.025577308364479245,0.003971121444320325,0.02160618692015892,,,
2026-04-27,NVDA,ActionCenter,4,STRONG BUY,24.0,0.0,0.5549999999999999,-0.07866669700437867,0.004879945072881364,-0.08354664207726004,-0.08369883584195925,0.003971121444320325,-0.08766995728627958,,,
2026-04-27,C,ActionCenter,5,STRONG BUY,10.3,0.0,0.5507500000000001,-0.008982468934468857,0.004879945072881364,-0.013862414007350221,-0.027179821533372395,0.003971121444320325,-0.03115094297769272,,,
2026-04-27,CLSK,UpsideOnly,1,STRONG BUY,58.2,0.0,58.2,0.02285712105887283,0.004879945072881364,0.017977175985991467,0.04653058733258919,0.003971121444320325,0.042559465888268866,,,
2026-04-27,IONQ,UpsideOnly,2,BUY,47.3,0.0,47.3,0.029197052345843133,0.004879945072881364,0.02431710727296177,0.043567514615972414,0.003971121444320325,0.03959639317165209,,,
2026-04-27,APP,UpsideOnly,3,BUY,38.9,0.0,38.9,-0.030285259689806554,0.004879945072881364,-0.03516520476268792,0.03195809420582396,0.003971121444320325,0.027986972761503637,,,
2026-04-27,MSFT,UpsideOnly,4,BUY,35.7,0.0,35.7,-0.0401111253028088,0.004879945072881364,-0.04499107037569017,-0.026364135431322766,0.003971121444320325,-0.03033525687564309,,,
2026-04-27,META,UpsideOnly,5,BUY,26.0,0.0,26.0,-0.09830247038497064,0.004879945072881364,-0.103182415457852,-0.10051283850084225,0.003971121444320325,-0.10448395994516257,,,
2026-04-27,BAC,HighConviction,1,STRONG BUY,19.3,0.0,19.3,0.015770435103795943,0.004879945072881364,0.010890490030914579,-0.00836029702596408,0.003971121444320325,-0.012331418470284405,,,
2026-04-27,KDP,HighConviction,2,STRONG BUY,18.1,0.0,18.1,0.044404973958762195,0.004879945072881364,0.03952502888588083,0.025577308364479245,0.003971121444320325,0.02160618692015892,,,
2026-04-27,ASML,HighConviction,3,STRONG BUY,15.9,0.0,15.9,0.004572651626632673,0.004879945072881364,-0.0003072934462486909,-0.03227359076804659,0.003971121444320325,-0.036244712212366914,,,
2026-04-28,NVDA,ActionCenter,1,STRONG BUY,26.0,0.0,0.56,-0.06905287492209367,0.012589781986426019,-0.08164265690851968,,,,,,
2026-04-28,AMAT,ActionCenter,2,STRONG BUY,11.0,0.0,0.5525,0.020912601419642796,0.012589781986426019,0.008322819433216777,,,,,,
2026-04-28,C,ActionCenter,3,STRONG BUY,10.9,0.0,0.55225,-0.00848048197496909,0.012589781986426019,-0.021070263961395108,,,,,,
2026-04-28,KDP,ActionCenter,4,STRONG BUY,15.5,0.0,0.54875,0.010420257989597559,0.012589781986426019,-0.0021695239968284596,,,,,,
2026-04-28,JPM,ActionCenter,5,STRONG BUY,9.3,0.0,0.54825,0.003274968610352369,0.012589781986426019,-0.00931481337607365,,,,,,
2026-04-28,CLSK,UpsideOnly,1,BUY,62.9,0.0,62.9,0.032230713797321675,0.012589781986426019,0.019640931810895657,,,,,,
